inventory_id,drug_name,brand_name,ndc,lot,quantity,department,days_remaining
INV-296,naloxone,Narcan,89131533315,LOT-E,49,ICU,28
INV-297,alteplase,Activase,58520682036,LOT-B,40,ICU,19
INV-298,insulin glargine,Lantus,42087367769,LOT-E,84,GW,20
INV-299,propofol,Diprivan,46048501238,LOT-C,89,GW,27
INV-300,propofol,Diprivan,46048501238,LOT-C,39,ER,2
INV-301,warfarin sodium,Coumadin,93320697730,LOT-B,28,ICU,28
INV-302,acetaminophen,Tylenol,44718328741,LOT-B,56,GW,3
INV-303,cisplatin,Platinol,28131934873,LOT-E,16,ICU,24
INV-304,dobutamine,Dobutrex,22676688154,LOT-C,58,OR,15
INV-305,norepinephrine,Levophed,65392657445,LOT-C,44,OR,24
INV-306,acetaminophen,Tylenol,44718328741,LOT-A,15,GW,29
INV-307,epinephrine,EpiPen,46463110630,LOT-A,84,ER,2
INV-308,cefazolin,Ancef,48427692583,LOT-D,89,OR,14
INV-309,methylprednisolone,Solu-Medrol,86622801984,LOT-B,58,OR,9
INV-310,ondansetron,Zofran,45093208437,LOT-A,49,ICU,14
INV-311,piperacillin and tazobactam,Zosyn,35203213915,LOT-D,91,GW,19
INV-312,metoclopramide,Reglan,84341615537,LOT-B,44,GW,2
INV-313,nitroglycerin,Nitrostat,99593216987,LOT-B,12,GW,1
INV-314,meropenem,Merrem,96673473347,LOT-C,22,ER,25
INV-315,piperacillin and tazobactam,Zosyn,35203213915,LOT-D,20,OR,1
INV-316,insulin glargine,Lantus,42087367769,LOT-E,21,ER,13
INV-317,naloxone,Narcan,89131533315,LOT-C,76,OR,27
INV-318,hydromorphone,Dilaudid,65302152013,LOT-D,99,OR,2
INV-319,propofol,Diprivan,46048501238,LOT-C,14,OR,28
INV-320,acetaminophen,Tylenol,44718328741,LOT-D,78,OR,3
INV-321,piperacillin and tazobactam,Zosyn,35203213915,LOT-C,56,ICU,1
INV-322,norepinephrine,Levophed,65392657445,LOT-C,63,GW,27
INV-323,ketamine,Ketalar,22280458239,LOT-D,18,OR,8
INV-324,dexamethasone,Decadron,83579983043,LOT-D,72,OR,3
INV-325,meropenem,Merrem,96673473347,LOT-C,48,GW,8
INV-326,norepinephrine,Levophed,65392657445,LOT-A,70,ICU,21
INV-327,metoclopramide,Reglan,84341615537,LOT-C,29,OR,29
INV-328,warfarin sodium,Coumadin,93320697730,LOT-B,87,GW,27
INV-329,vancomycin,Vancocin,70217978525,LOT-B,23,ICU,9
INV-330,phenylephrine,Neo-Synephrine,30379452753,LOT-A,24,GW,25
INV-331,phenylephrine,Neo-Synephrine,30379452753,LOT-D,85,GW,16
INV-332,acetaminophen,Tylenol,44718328741,LOT-E,79,GW,15
INV-333,cisplatin,Platinol,28131934873,LOT-C,46,GW,28
INV-334,epinephrine,EpiPen,46463110630,LOT-D,13,OR,16
INV-335,cisplatin,Platinol,28131934873,LOT-A,40,ER,19
INV-336,warfarin sodium,Coumadin,93320697730,LOT-D,14,OR,10
INV-337,potassium chloride,KCl,59735542291,LOT-C,12,ICU,12
INV-338,hydromorphone,Dilaudid,65302152013,LOT-E,16,GW,20
INV-339,ondansetron,Zofran,45093208437,LOT-E,64,OR,19
INV-340,fentanyl,Sublimaze,28289267996,LOT-C,78,OR,1
INV-341,methylprednisolone,Solu-Medrol,86622801984,LOT-A,69,OR,5
INV-342,potassium chloride,KCl,59735542291,LOT-A,48,ICU,23
INV-343,ondansetron,Zofran,45093208437,LOT-B,27,GW,2
INV-344,potassium chloride,KCl,59735542291,LOT-E,72,OR,17
INV-345,norepinephrine,Levophed,65392657445,LOT-C,52,OR,30
INV-346,amiodarone,Cordarone,97841537499,LOT-E,48,OR,22
INV-347,morphine sulfate,MS Contin,81482242485,LOT-A,87,GW,11
INV-348,enoxaparin sodium,Lovenox,59823555468,LOT-D,76,ICU,22
INV-349,piperacillin and tazobactam,Zosyn,35203213915,LOT-E,97,ER,28
INV-350,epinephrine,EpiPen,46463110630,LOT-B,15,OR,19
